ProductID,ProductName,Category,UnitCost,RetailPrice,ReorderPoint,SafetyStock
1,Azithromycin 500mg,Antibiotics,13.24,31.21,47,52
2,Vitamin D3 Capsules,Antiseptics,68.56,84.31,28,87
3,Pantoprazole 40mg,Diabetes,9.93,15.02,39,79
4,Paracetamol 500mg,Vitamins,6.79,13.84,31,73
5,Vitamin D3 Capsules,Analgesics,23.81,42.73,25,99
6,Pantoprazole 40mg,Analgesics,4.08,7.91,31,89
7,Insulin Glargine,Analgesics,32.26,56.61,20,20
8,Vitamin D3 Capsules,Cardiac,8.24,16.07,23,48
9,Paracetamol 500mg,Vitamins,12.28,33.98,48,84
10,Pantoprazole 40mg,Diabetes,20.56,30.55,26,71
11,Pantoprazole 40mg,Analgesics,23.73,43.37,20,60
12,Pantoprazole 40mg,Antiseptics,30.24,40.33,20,45
13,Insulin Glargine,Diabetes,21.37,31.9,33,44
14,Vitamin D3 Capsules,Analgesics,9.8,18.65,18,56
15,Insulin Glargine,Analgesics,24.64,42.21,15,50
16,Amoxicillin 250mg,Analgesics,26.75,43.12,37,96
17,Amoxicillin 250mg,Antibiotics,5.2,11.33,32,24
18,Vitamin D3 Capsules,Vitamins,46.29,88.09,46,72
19,Insulin Glargine,Antibiotics,14.13,26.73,26,69
20,Paracetamol 500mg,Antibiotics,22.19,51.13,41,96
21,Pantoprazole 40mg,Vitamins,10.22,19.07,43,64
22,Pantoprazole 40mg,Analgesics,5.66,8.73,19,39
23,Vitamin D3 Capsules,Antibiotics,11.02,23.79,30,48
24,Amoxicillin 250mg,Antibiotics,12.84,27.19,46,78
25,Amoxicillin 250mg,Antibiotics,16.31,42.29,47,57
26,Pantoprazole 40mg,Diabetes,43.02,60.79,23,91
27,Vitamin D3 Capsules,Analgesics,39.62,63.04,12,49
28,Insulin Glargine,Vitamins,26.62,58.02,28,67
29,Amoxicillin 250mg,Vitamins,8.16,16.33,49,63
30,Insulin Glargine,Analgesics,4.98,9.39,10,99
31,Amoxicillin 250mg,Vitamins,17.16,40.89,32,27
32,Amoxicillin 250mg,Analgesics,34.4,56.39,38,26
33,Azithromycin 500mg,Analgesics,14.09,23.52,44,40
34,Amoxicillin 250mg,Antiseptics,19.67,25.2,31,38
35,Paracetamol 500mg,Antiseptics,14.01,18.56,32,93
36,Vitamin D3 Capsules,Diabetes,29.4,49.69,46,76
37,Vitamin D3 Capsules,Antibiotics,3.09,7.5,22,26
38,Insulin Glargine,Analgesics,27.43,49.08,42,77
39,Amoxicillin 250mg,Diabetes,30.08,49.64,12,43
40,Paracetamol 500mg,Antibiotics,11.18,30.19,50,21
41,Insulin Glargine,Analgesics,32.8,58.45,46,92
42,Azithromycin 500mg,Antibiotics,12.35,28.41,38,44
43,Insulin Glargine,Analgesics,13.83,25.32,49,92
44,Insulin Glargine,Cardiac,24.9,46.13,43,24
45,Amoxicillin 250mg,Analgesics,35.76,59.89,29,33
46,Azithromycin 500mg,Vitamins,9.83,18.87,47,82
47,Insulin Glargine,Antibiotics,25.81,56.06,42,73
48,Paracetamol 500mg,Vitamins,35.25,72.16,32,71
49,Paracetamol 500mg,Vitamins,24.81,51.85,49,35
50,Vitamin D3 Capsules,Analgesics,4.77,8.19,21,32
51,Azithromycin 500mg,Antiseptics,10.42,14.24,42,37
52,Azithromycin 500mg,Diabetes,14.87,23.94,33,98
53,Vitamin D3 Capsules,Cardiac,28.3,55.9,34,95
54,Insulin Glargine,Cardiac,17.61,28.62,21,28
55,Azithromycin 500mg,Vitamins,11.65,27.82,16,85
56,Paracetamol 500mg,Cardiac,12.56,22.0,44,75
57,Paracetamol 500mg,Analgesics,35.36,62.45,35,46
58,Amoxicillin 250mg,Analgesics,28.18,44.67,47,37
59,Azithromycin 500mg,Analgesics,25.73,54.89,43,40
60,Insulin Glargine,Antibiotics,27.82,64.53,34,61
61,Vitamin D3 Capsules,Antibiotics,24.32,59.04,11,87
62,Vitamin D3 Capsules,Analgesics,13.95,25.75,25,82
