SupplierID,Supplier_Name,QualityRating,LeadTimeDays
1,Sun Pharma Supply Chain,4.76,6
2,Abbott India Medical Supplies,4.43,9
3,Lupin Supply Chain,4.1,3
4,Apollo Pharma Pharma Dist,3.0,16
5,Cipla Wholesale,4.05,5
6,Zydus Pharma Dist,3.8,7
7,Alkem Labs Pharma Dist,2.4,15
8,MedPlus Supply Wholesale,3.22,7
9,Pfizer India Pharma Dist,4.74,4
10,Zydus Supply Chain,4.37,7
11,Torrent Pharma Distribution,4.78,3
12,Novartis India Wholesale,4.38,4
13,Alkem Labs Medical Supplies,2.5,17
14,Mankind Pharma Medical Supplies,3.59,6
15,Mankind Pharma Wholesale,3.38,12
16,Dr Reddy's Pharma Dist,3.76,7
17,Glenmark Medical Supplies,3.59,12
18,Cipla Supply Chain,4.36,1
19,Glenmark Supply Chain,3.32,15
20,MedPlus Supply Distribution,3.29,11
21,Zydus Medical Supplies,3.87,10
22,Lupin Medical Supplies,3.77,6
23,Biocon Medical Supplies,4.42,3
24,Cipla Pharma Dist,3.87,3
25,Lupin Distribution,3.95,9
26,Dr Reddy's Wholesale,3.61,7
27,Piramal Distribution,4.26,6
28,Abbott India Supply Chain,4.48,4
29,Dr Reddy's Medical Supplies,3.75,6
30,Pfizer India Supply Chain,4.53,3
31,Novartis India Pharma Dist,4.64,4
32,Cadila Health Distribution,3.21,8
33,Apollo Pharma Supply Chain,2.52,11
34,Abbott India Supply Chain,4.48,4
35,Biocon Pharma Dist,4.55,9
36,Abbott India Distribution,4.28,2
37,Aurobindo Distribution,3.35,6
38,Mankind Pharma Medical Supplies,3.59,6
39,Glenmark Pharma Dist,3.25,11
40,Biocon Pharma Dist,4.55,9
41,Biocon Supply Chain,4.75,2
42,Mankind Pharma Supply Chain,3.47,9
43,Glenmark Pharma Dist,3.25,11
44,Glenmark Pharma Dist,3.25,11
45,Abbott India Distribution,4.28,2
46,Alkem Labs Wholesale,2.57,18
47,Aurobindo Supply Chain,3.61,5
48,Zydus Supply Chain,4.37,7
49,Cadila Health Medical Supplies,3.8,5
50,Dr Reddy's Medical Supplies,3.75,6
51,Aurobindo Wholesale,4.17,7
52,Glenmark Medical Supplies,3.59,12
53,Novartis India Supply Chain,4.65,1
54,Cipla Pharma Dist,3.87,3
55,Aurobindo Pharma Dist,3.66,7
56,Glenmark Medical Supplies,3.59,12
57,Sun Pharma Medical Supplies,4.48,4
58,Cadila Health Pharma Dist,3.37,11
59,Cipla Distribution,4.18,4
60,Novartis India Distribution,4.49,5
61,Pfizer India Wholesale,4.92,2
62,Alkem Labs Supply Chain,2.32,17
63,Novartis India Wholesale,4.38,4
64,Aurobindo Medical Supplies,3.76,6
65,MedPlus Supply Medical Supplies,3.22,4
66,Aurobindo Supply Chain,3.61,5
67,Lupin Distribution,3.95,9
68,Dr Reddy's Pharma Dist,3.76,7
69,Torrent Pharma Medical Supplies,4.78,5
70,Lupin Wholesale,4.15,2
71,Lupin Supply Chain,4.1,3
