StockID,Store_ID,ProductID,BatchNumber,ExpiryDate,QuantityOnHand,SupplierID,DaysToExpiry,ExpiryStatus
1,HYD004,11,BATCH_1,07/11/2027,93,142,432,Valid
2,HYD005,57,BATCH_2,04/09/2028,11,54,705,Valid
3,HYD003,82,BATCH_3,03/01/2027,55,99,300,Valid
4,HYD005,96,BATCH_4,04/03/2027,13,172,333,Valid
5,HYD005,30,BATCH_5,09/25/2027,154,90,508,Valid
6,HYD002,89,BATCH_6,03/20/2028,88,1,685,Valid
7,HYD003,46,BATCH_7,09/04/2026,157,180,122,Valid
8,HYD003,200,BATCH_8,03/11/2027,170,177,310,Valid
9,HYD003,157,BATCH_9,09/05/2027,6,75,488,Valid
10,HYD005,5,BATCH_10,10/08/2026,71,47,156,Valid
11,HYD004,22,BATCH_11,06/24/2027,75,175,415,Valid
12,HYD003,67,BATCH_12,01/09/2028,45,52,614,Valid
13,HYD005,101,BATCH_13,04/14/2028,25,180,710,Valid
14,HYD002,16,BATCH_14,01/13/2027,110,65,253,Valid
15,HYD004,76,BATCH_15,09/09/2027,172,139,492,Valid
16,HYD002,188,BATCH_16,08/04/2027,153,69,456,Valid
17,HYD004,188,BATCH_17,04/26/2026,44,125,-9,Expired
18,HYD005,122,BATCH_18,12/29/2027,168,81,603,Valid
19,HYD001,179,BATCH_19,01/30/2028,192,87,635,Valid
20,HYD004,120,BATCH_20,05/10/2026,173,189,5,Expiring Soon
21,HYD002,170,BATCH_21,05/23/2026,101,108,18,Expiring Soon
22,HYD005,76,BATCH_22,04/24/2028,90,55,720,Valid
23,HYD004,58,BATCH_23,06/23/2026,118,16,49,Valid
24,HYD001,51,BATCH_24,12/07/2027,65,92,581,Valid
25,HYD001,116,BATCH_25,10/02/2026,62,91,150,Valid
26,HYD003,95,BATCH_26,08/13/2026,199,170,100,Valid
27,HYD003,38,BATCH_27,11/24/2027,175,109,568,Valid
28,HYD002,127,BATCH_28,03/03/2027,32,38,302,Valid
29,HYD004,14,BATCH_29,03/21/2027,7,49,320,Valid
30,HYD004,113,BATCH_30,07/05/2026,148,130,61,Valid
31,HYD003,46,BATCH_31,08/06/2026,181,96,93,Valid
32,HYD004,22,BATCH_32,04/07/2027,8,137,337,Valid
33,HYD004,114,BATCH_33,10/07/2027,1,102,520,Valid
34,HYD001,195,BATCH_34,03/30/2028,70,142,695,Valid
35,HYD003,12,BATCH_35,08/27/2027,163,32,479,Valid
36,HYD005,180,BATCH_36,12/12/2026,43,166,221,Valid
37,HYD003,81,BATCH_37,05/04/2028,193,86,730,Valid
38,HYD005,17,BATCH_38,12/09/2027,165,73,583,Valid
39,HYD001,173,BATCH_39,06/07/2026,200,109,33,Valid
40,HYD002,37,BATCH_40,12/26/2027,43,69,600,Valid
41,HYD004,13,BATCH_41,05/07/2027,188,48,367,Valid
42,HYD001,55,BATCH_42,03/31/2027,167,105,330,Valid
43,HYD004,174,BATCH_43,03/23/2027,98,187,322,Valid
44,HYD002,39,BATCH_44,04/28/2026,33,89,-7,Expired
45,HYD002,43,BATCH_45,12/24/2027,54,175,598,Valid
46,HYD001,82,BATCH_46,09/15/2026,128,43,133,Valid
47,HYD002,77,BATCH_47,02/12/2026,133,101,-82,Expired
48,HYD005,137,BATCH_48,07/19/2027,156,76,440,Valid
49,HYD002,79,BATCH_49,07/06/2026,86,120,62,Valid
50,HYD004,39,BATCH_50,10/07/2027,147,68,520,Valid
51,HYD004,140,BATCH_51,02/26/2026,51,5,-68,Expired
52,HYD004,3,BATCH_52,05/02/2028,55,129,728,Valid
53,HYD004,183,BATCH_53,06/22/2027,66,156,413,Valid
54,HYD005,124,BATCH_54,01/26/2027,0,137,266,Valid
55,HYD003,128,BATCH_55,11/07/2026,181,13,186,Valid
56,HYD001,117,BATCH_56,09/14/2026,97,35,132,Valid
57,HYD004,116,BATCH_57,12/11/2026,18,63,220,Valid
58,HYD002,187,BATCH_58,08/03/2027,31,91,455,Valid
59,HYD004,121,BATCH_59,07/18/2026,191,191,74,Valid
60,HYD002,160,BATCH_60,07/30/2027,88,78,451,Valid
61,HYD002,147,BATCH_61,08/26/2027,119,125,478,Valid
62,HYD004,154,BATCH_62,02/07/2028,123,178,643,Valid
63,HYD005,3,BATCH_63,09/02/2026,81,79,120,Valid
64,HYD002,165,BATCH_64,09/23/2026,77,139,141,Valid
65,HYD002,173,BATCH_65,03/16/2026,12,82,-50,Expired
66,HYD004,185,BATCH_66,05/11/2027,55,126,371,Valid
67,HYD002,68,BATCH_67,03/16/2027,138,175,315,Valid
68,HYD002,59,BATCH_68,07/17/2026,50,1,73,Valid
69,HYD004,126,BATCH_69,09/27/2026,39,13,145,Valid
70,HYD004,83,BATCH_70,07/29/2026,168,42,85,Valid
71,HYD001,160,BATCH_71,01/13/2028,71,82,618,Valid
72,HYD005,15,BATCH_72,05/17/2026,97,200,12,Expiring Soon
73,HYD005,121,BATCH_73,09/30/2026,15,33,148,Valid
74,HYD002,148,BATCH_74,12/03/2026,24,45,212,Valid
75,HYD005,51,BATCH_75,11/07/2026,55,160,186,Valid
76,HYD002,38,BATCH_76,07/08/2026,152,27,64,Valid
77,HYD001,130,BATCH_77,03/31/2026,102,30,-35,Expired
78,HYD004,104,BATCH_78,05/26/2026,72,55,21,Expiring Soon
79,HYD004,30,BATCH_79,01/17/2027,118,76,257,Valid
80,HYD004,167,BATCH_80,11/09/2027,173,68,553,Valid
81,HYD005,72,BATCH_81,09/04/2027,142,149,487,Valid
82,HYD001,109,BATCH_82,05/07/2027,37,168,367,Valid
83,HYD005,42,BATCH_83,07/17/2027,23,184,438,Valid
84,HYD005,75,BATCH_84,05/25/2027,139,19,385,Valid
85,HYD001,197,BATCH_85,05/08/2027,26,148,368,Valid
86,HYD001,135,BATCH_86,11/21/2027,46,189,565,Valid
87,HYD001,165,BATCH_87,02/04/2027,49,33,275,Valid
88,HYD001,38,BATCH_88,05/20/2026,94,182,15,Expiring Soon
89,HYD004,120,BATCH_89,10/03/2026,74,177,151,Valid
90,HYD003,184,BATCH_90,03/10/2027,152,148,309,Valid
91,HYD003,142,BATCH_91,11/06/2026,32,199,185,Valid
92,HYD001,147,BATCH_92,11/02/2027,98,152,546,Valid
93,HYD003,192,BATCH_93,08/25/2026,72,153,112,Valid
94,HYD003,104,BATCH_94,03/01/2026,179,122,-65,Expired
95,HYD001,118,BATCH_95,03/25/2028,162,31,690,Valid
96,HYD003,72,BATCH_96,10/24/2026,111,174,172,Valid
97,HYD005,4,BATCH_97,06/16/2026,142,190,42,Valid
98,HYD002,194,BATCH_98,10/01/2027,59,139,514,Valid
99,HYD002,111,BATCH_99,06/18/2026,80,24,44,Valid
100,HYD001,187,BATCH_100,03/30/2026,139,1,-36,Expired
101,HYD004,142,BATCH_101,05/19/2026,94,58,14,Expiring Soon
102,HYD001,149,BATCH_102,08/23/2026,36,32,110,Valid
103,HYD004,110,BATCH_103,04/03/2027,140,107,333,Valid
104,HYD002,136,BATCH_104,06/11/2027,167,200,402,Valid
105,HYD001,74,BATCH_105,10/06/2026,130,154,154,Valid
106,HYD005,74,BATCH_106,03/03/2026,144,94,-63,Expired
107,HYD003,190,BATCH_107,01/01/2027,19,71,241,Valid
108,HYD004,56,BATCH_108,11/09/2027,44,107,553,Valid
109,HYD003,95,BATCH_109,05/13/2026,66,67,8,Expiring Soon
110,HYD003,102,BATCH_110,06/29/2027,11,23,420,Valid
111,HYD001,160,BATCH_111,07/13/2027,134,57,434,Valid
112,HYD003,15,BATCH_112,03/06/2026,1,81,-60,Expired
113,HYD005,97,BATCH_113,10/08/2027,83,135,521,Valid
114,HYD003,188,BATCH_114,11/16/2027,24,162,560,Valid
